species,image,butt,psithyrus,location_pirineos,location_cordillera_cantabrica,location_cordillera_betica_penibetica,location_meseta_interior_peninsula,location_costa_atlantica,location_costa_mediterranea,location_costa_cantabrica,description
Bombus wurflenii,bombus-wurflenii.jpg,rojo,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus vestalis,bombus-vestalis.jpg,blanco,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Esta descripción se completara más adelante
Bombus terrestris,bombus-terrestris.jpg,blanco,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Esta descripción se completara más adelante
Bombus sylvestris,bombus-sylvestris.jpg,blanco,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Esta descripción se completara más adelante
Bombus sylvarum,bombus-sylvarum.jpg,rojo,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Esta descripción se completara más adelante
Bombus subterraneus,bombus-subterraneus.jpg,blanco,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus soroeensis,bombus-soroeensis.jpg,rojo,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus sichelii,bombus-sichelii.jpg,rojo,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus rupestris,bombus-rupestris-vasco.jpg,rojo,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus ruderatus,bombus-ruderatus-ruderatus.jpg,blanco,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Esta descripción se completara más adelante
Bombus ruderarius,bombus-ruderarius.jpg,rojo,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus reinigiellus,bombus-reinigiellus.jpg,blanco,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus quadricolor,bombus-quadricolor.jpg,rojo,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus pyrenaeus,bombus-pyrenaeus.jpg,rojo,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus pratorum,bombus-pratorum.jpg,rojo,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Esta descripción se completara más adelante
Bombus pascorum,bombus-pascorum-dusmeti.jpg,otros,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Esta descripción se completara más adelante
Bombus norvegicus,bombus-norvegicus.jpg,otros,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus muscorum,bombus-muscorum.jpg,otros,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Esta descripción se completara más adelante
Bombus mucidus,bombus-mucidus.jpg,otros,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus monticola,bombus-monticola.jpg,rojo,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus mesomelas,bombus-mesomelas.jpg,otros,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus mendax,bombus-mendax.jpg,rojo,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus magnus,bombus-magnus.jpg,blanco,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Esta descripción se completara más adelante
Bombus lucorum,bombus-lucorum.jpg,blanco,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Esta descripción se completara más adelante
Bombus lapidarius,bombus-lapidarius-decipiens.jpg,rojo,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus laesus,bombus-laesus-mocsaryi.jpg,otros,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus jonellus,bombus-jonellus.jpg,blanco,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus inexpectatus,bombus-inexpectatus.jpg,rojo,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus hypnorum,bombus-hypnorum.jpg,blanco,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus humilis,bombus-humilis-paraurantiacus.jpg,otros,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Esta descripción se completara más adelante
Bombus hortorum,bombus-hortorum.jpg,blanco,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Esta descripción se completara más adelante
Bombus gerstaeckeri,bombus-gerstaeckeri.jpg,blanco,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus flavidus,bombus-flavidus-lutescens.jpg,otros,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus cullumanus,bombus-cullumanus-serrisquama.jpg,rojo,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus confusus,bombus-confusus.jpg,rojo,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus campestris,bombus-campestris.jpg,otros,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Esta descripción se completara más adelante
Bombus bohemicus,bombus-bohemicus.jpg,blanco,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante
Bombus barbutelus,bombus-barbutelus.jpg,blanco,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Esta descripción se completara más adelante